DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\bs4\builder\__init__.py first seen with mtime 1734813908.0319817
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\attr\_make.py first seen with mtime 1734847363.1824389
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\actions.py first seen with mtime 1734813769.479204
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\price_tracker\tracker\urls.py first seen with mtime 1734980411.427752
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\mongo_replica_set_client.py first seen with mtime 1734821621.731488
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1734895446.3930905
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_distutils\core.py first seen with mtime 1734813769.4992075
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\database.py first seen with mtime 1734821621.7284868
DEBUG 2024-12-24 14:43:00,361 autoreload File C:\Users\vishn\anaconda3\Lib\html\parser.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\renderer.py first seen with mtime 1734813897.3931735
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\client_session.py first seen with mtime 1734821621.7254872
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\__init__.py first seen with mtime 1734813769.4832082
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_distutils\cmd.py first seen with mtime 1734813769.4982076
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1734895446.4001584
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_importlib.py first seen with mtime 1734813769.4842086
DEBUG 2024-12-24 14:43:00,361 autoreload File C:\Users\vishn\anaconda3\Lib\unittest\__init__.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,361 autoreload File C:\Users\vishn\anaconda3\Lib\tokenize.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,361 autoreload File C:\Users\vishn\anaconda3\Lib\platform.py first seen with mtime 1702663456.1649039
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_imp.py first seen with mtime 1734813769.4842086
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1734813898.158695
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\bs4\__init__.py first seen with mtime 1734813908.0239842
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\results.py first seen with mtime 1734813769.4812083
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\http_writer.py first seen with mtime 1734847365.1609223
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\resolver.py first seen with mtime 1734813897.3931735
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\socket_checker.py first seen with mtime 1734821621.7374866
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\idna\core.py first seen with mtime 1734813897.140177
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\_distutils\version.py first seen with mtime 1734813769.5052083
DEBUG 2024-12-24 14:43:00,361 autoreload File C:\Users\vishn\anaconda3\Lib\keyword.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,361 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\utils.py first seen with mtime 1734895446.3690872
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\tempfile.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\periodic_executor.py first seen with mtime 1734821621.7335017
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\packaging\markers.py first seen with mtime 1734813769.4769037
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\config\expand.py first seen with mtime 1734813769.5332086
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\bisect.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\configparser.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1734895446.377087
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\aiohttp\resolver.py first seen with mtime 1734847365.1629224
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\ipaddress.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\pymongo\__init__.py first seen with mtime 1734821621.7224884
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1734895446.3680878
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\unittest\runner.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\asyncio\futures.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1734895446.3710878
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\ttl.py first seen with mtime 1734813897.3951735
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\operator.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\re\_casefix.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1734895446.3991508
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1734895445.8031576
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\asyncio\__init__.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\xml\parsers\expat.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\importlib\metadata\_adapters.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1734895446.4071589
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\pyparsing\unicode.py first seen with mtime 1734813769.4822083
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1734895446.3720872
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\setuptools\extension.py first seen with mtime 1734813769.4892082
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\json\scanner.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\asyncio\base_tasks.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1734813898.5160863
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\sysconfig.py first seen with mtime 1702663443.4873862
DEBUG 2024-12-24 14:43:00,362 autoreload File C:\Users\vishn\anaconda3\Lib\locale.py first seen with mtime 1701712589.0
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\dns\zone.py first seen with mtime 1734813897.3971732
DEBUG 2024-12-24 14:43:00,362 autoreload File E:\price_patrol\venv\Lib\site-packages\djongo\sql2mongo\__init__.py first seen with mtime 1734895452.371939
DEBUG 2024-12-24 14:43:00,363 autoreload File E:\price_patrol\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\context.py first seen with mtime 1734813769.4741678
DEBUG 2024-12-24 14:43:00,363 autoreload File E:\price_patrol\price_tracker\tracker\admin.py first seen with mtime 1734817619.5460756
